region,code,id,title_id,name,type,game_title
Korea,ELAS,10407,ELAS10407,Like a Dragon: Ishin!,,Like a Dragon: Ishin! 
Asia,ELAS,10408,ELAS10408,Like a Dragon: Ishin!,,Like a Dragon: Ishin! 
Asia,ELAS,10132,ELAS10132,Lost Judgement,,Lost Judgement 
Korea,ELAS,10133,ELAS10133,Lost Judgement,,Lost Judgement 
Asia,ELAS,10134,ELAS10134,Lost Judgement,,Lost Judgement 
Asia,ECAS,00118,ECAS00118,Lost Soul Aside,,Lost Soul Aside 
Asia,ECAS,00117,ECAS00117,Lost Soul Aside,,Lost Soul Aside 
Korea,ECAS,00116,ECAS00116,Lost Soul Aside,,Lost Soul Aside 
Asia,ELAS,10050,ELAS10050,Maneater,,Maneater 
Asia,ELAS,10043,ELAS10043,Marvel's Avengers,,Marvel's Avengers 
Asia,ELAS,10171,ELAS10171,Marvel's Guardians of the Galaxy,,Marvel's Guardians of the Galaxy 
Asia,ELAS,10172,ELAS10172,Marvel's Guardians of the Galaxy,,Marvel's Guardians of the Galaxy 
Korea,ELAS,10173,ELAS10173,Marvel's Guardians of the Galaxy,,Marvel's Guardians of the Galaxy 
Korea,ELAS,10346,ELAS10346,Marvel's Midnight Suns,,Marvel's Midnight Suns 
Asia,ELAS,10238,ELAS10238,Matchpoint: Tennis Championships,,Matchpoint: Tennis Championships 
Korea,ELAS,10152,ELAS10152,Medium,,Medium 
Korea,ELAS,11016,ELAS11016,Metal Gear Solid Delta: Snake Eater,,Metal Gear Solid Delta: Snake Eater 
Korea,ELAS,10798,ELAS10798,Metaphor: ReFantazio,,Metaphor: ReFantazio 
