GameId	Region	GameTitle	URL
SLES04177	DE	Schnappi - Das kleine Krokodil - 3 Fun-Games	
SLES10105	DE	Wing Commander III - Heart of the Tiger	
SLES10160	DE	D	
SLES10167	DE	Chronicles of the Sword	
SLES10463	DE	Heart of Darkness	
SLES10532	DE	Command & Conquer - Teil 1 - Der Tiberiumkonflikt	
SLES10584	DE	Star Wars - Rebel Assault II - The Hidden Empire	
SLES10661	DE	Wing Commander IV - The Price of Freedom	
SLES10854	DE	G-Police	
SLES10862	DE	Colony Wars	
SLES10974	DE	Resident Evil 2	
SLES11007	DE	Command & Conquer - Alarmstufe Rot	
SLES11100	DE	Riven - The Sequel to Myst	
SLES11345	DE	Command & Conquer - Alarmstufe Rot - Gegenschlag	
SLES11503	DE	Oddworld - Abe's Exoddus	
SLES11507	DE	Metal Gear Solid	
SLES11567	DE	X-Files, The	
SLES11603	DE	Atlantis - Das sagenhafte Abenteuer	
SLES12082	DE	Final Fantasy VIII	
SLES12151	DE	In Cold Blood	
SLES12161	DE	Star Ocean - The Second Story	
SLES12168	DE	Fear Effect	
SLES12187	DE	OverBlood 2	
SLES12330	DE	Galerians	
SLES12348	DE	Amerzone - Das Testament des Forschungsreisenden	
SLES12399	DE	Grandia	
SLES12441	DE	GZSZ Vol. 2	
SLES12560	DE	Parasite Eve II	
SLES12566	DE	Dragon Valor	
SLES12759	DE	Dracula - Resurrection	
SLES12803	DE	Alone in the Dark - The New Nightmare	
SLES12814	DE	Chase the Express	
SLES12899	DE	Koudelka	
SLES12967	DE	Final Fantasy IX	
SLES12995	DE	Driver 2 - Back on the Streets	
SLES13350	DE	Dracula 2 - Die letzte Zufluchtsstaette	
SLES13495	DE	Necronomicon - Das Mysterium der Daemmerung	
SLES13499	DE	You Don't Know Jack	
SLES20105	DE	Wing Commander III - Heart of the Tiger	
SLES20160	DE	D	
SLES20661	DE	Wing Commander IV - The Price of Freedom	
SLES21100	DE	Riven - The Sequel to Myst	
SLES21567	DE	X-Files, The	
SLES21603	DE	Atlantis - Das sagenhafte Abenteuer	
SLES22082	DE	Final Fantasy VIII	
SLES22168	DE	Fear Effect	
SLES22330	DE	Galerians	
SLES22899	DE	Koudelka	
SLES22967	DE	Final Fantasy IX	
SLES30105	DE	Wing Commander III - Heart of the Tiger	
SLES30661	DE	Wing Commander IV - The Price of Freedom	
SLES31100	DE	Riven - The Sequel to Myst	
SLES31567	DE	X-Files, The	
SLES32082	DE	Final Fantasy VIII	
SLES32168	DE	Fear Effect	
SLES32899	DE	Koudelka	
SLES32967	DE	Final Fantasy IX	
SLES41100	DE	Riven - The Sequel to Myst	
SCED00457	DE	Demo One (Version 4)	
SCED01572	DE	Fluid	
SCES00064	DE	Demo One	
SCES00121	DE	Demo One (Version 2)	
SCES00237	DE	VIP Demo	
SCES00684	DE	Nightmare Creatures	
SLED00108	DE	Bloody Roar - Hyper Beast Duel	
SLES00127	DE	Krazy Ivan	
SLES00142	DE	Lone Soldier	
SLES00355	DE	Resident Evil	
SLES00648	DE	Crow, The - City of Angels	
SLES02098	DE	Capcom Generations	
SLES02255	DE	WWF Attitude	
SLES02536	DE	ECW Hardcore Revolution	
SLES03069	DE	ECW Anarchy Rulz	
SLES04015	DE	Runabout 2	
SLES04176	DE	Shoot	
SLES12098	DE	Capcom Generations	
SLES22098	DE	Capcom Generations	
SLES03772	DE	RTL Skispringen 2002	
SLES04174	DE	Moorhuhn X	
SLES00519	DE	Raven Project, The	
SLES10519	DE	Raven Project, The	
SLES01961	DE	Carmageddon	
SLES03142	DE	FIFA 2001	
SCES00897	DK	Disneys Action Spil med Herkules	
SCES01524	DK	Disney-Pixar Graes-Rodderne	
SCES02181	DK	Disneys Tarzan	
SCES03001	DK	Disneys Aladdin - Nasiras Haevn	
SCES03011	DK	Disneys Kejserens Nye Flip	
SCES03021	DK	Walt Disneys Junglebogen - Groove Party	
SCES03534	DK	Disneys Atlantis - Det Forsvundne Rige	
SCES03708	DK	Disneys Peter Pan - Eventyr pa Onskeoen	
SCES03747	DK	Disneys Plys' Spil-og-Leg-Sted	
SCES03760	DK	Disney-Pixar Monsters, Inc. - Skraemmeoen	
SCES03855	DK	Stuart Little 2	
SCES03879	DK	Disneys Lilo & Stitch - Ballade pa Hawaii!	
SCES03944	DK	Disney's Skatteplaneten	
SLES01810	DK	Hugo 2	
SLES03300	DK	Lego Oen 2 - Kim Cool's Haevn	
SLES03482	DK	Hvem Vil Vaere Millionaer	
SLES03564	DK	Byggemand Bob - Kan Vi Klare Det	
SCED02230	ES	Euro Demo 49	
SCED03205	ES	Esto es Futbol 2	
SCED03780	ES	Syphon Filter 3	
SCED04013	ES	Gratis! Demo Disc!	
SCES00414	ES	Broken Sword - La Leyenda de los Templarios	
SCES00604	ES	Z	
SCES00802	ES	Broken Sword II - Las Fuerzas del Mal	
SCES00895	ES	Disney Juego de Accion Disney Presenta Hercules	
SCES00900	ES	Final Fantasy VII	
SCES01073	ES	Treasures of the Deep	
SCES01174	ES	Wild Arms	
SCES01188	ES	Klonoa - Door to Phantomile	
SCES01206	ES	Cardinal Syn	
SCES01234	ES	Spice World	
SCES01290	ES	Zero Divide 2 - The Secret Wish	
SCES01495	ES	MediEvil	
SCES01519	ES	Disney Tarzan	
SCES01523	ES	Disney-Pixar Bichos Una Aventura en Miniatura	
SCES01569	ES	X-Files, The	
SCES01704	ES	Esto es Futbol	
SCES01772	ES	Destrega	
SCES01914	ES	Syphon Filter	
