game_name,id,type,region,languages,title,year,month,day,rom_name
Last Rebellion (Taiwan) (JA),BCAS20109,PS3,NTSC-A,JA,Last Rebellion,2010,1,28,Last Rebellion (Taiwan) (JA).iso
Resistance 2 (PlayStation 3 the Best) (Taiwan) (EN),BCAS20110,PS3,NTSC-A,EN,Resistance 2 (PlayStation 3 the Best),2010,2,4,Resistance 2 (PlayStation 3 the Best) (Taiwan) (EN).iso
"Star Ocean: The Last Hope International (Taiwan) (EN,JA)",BCAS20111,PS3,NTSC-A,"EN,JA",Star Ocean: The Last Hope International,2010,2,4,"Star Ocean: The Last Hope International (Taiwan) (EN,JA).iso"
"No More Heroes: Eiyuutachi no Rakuen (Taiwan) (EN,JA)",BCAS20112,PS3,NTSC-A,"EN,JA",No More Heroes: Eiyuutachi no Rakuen,2010,4,15,"No More Heroes: Eiyuutachi no Rakuen (Taiwan) (EN,JA).iso"
"LittleBigPlanet 2 (Taiwan) (EN,ZHCN)",BCAS20113,PS3,NTSC-A,"EN,ZHCN",LittleBigPlanet 2,2011,1,18,"LittleBigPlanet 2 (Taiwan) (EN,ZHCN).iso"
Last Rebellion (Taiwan) (EN),BCAS20114,PS3,NTSC-A,EN,Last Rebellion,2010,2,23,Last Rebellion (Taiwan) (EN).iso
"Demon's Souls (PlayStation 3 the Best) (Taiwan) (EN,ZHTW)",BCAS20115,PS3,NTSC-A,"EN,ZHTW",Demon's Souls (PlayStation 3 the Best),2010,2,24,"Demon's Souls (PlayStation 3 the Best) (Taiwan) (EN,ZHTW).iso"
"BlazBlue : Calamity Trigger (PlayStation3 the Best) (Taiwan) (EN,JA,ZHTW)",BCAS20116,PS3,NTSC-A,"EN,JA,ZHTW",BlazBlue : Calamity Trigger (PlayStation3 the Best),2010,3,4,"BlazBlue : Calamity Trigger (PlayStation3 the Best) (Taiwan) (EN,JA,ZHTW).iso"
"Lair (PlayStation 3 the Best) (Taiwan) (EN,ZHTW,ZHCN)",BCAS20117,PS3,NTSC-A,"EN,ZHTW,ZHCN",Lair (PlayStation 3 the Best),2010,3,4,"Lair (PlayStation 3 the Best) (Taiwan) (EN,ZHTW,ZHCN).iso"
Red Seeds Profile (Taiwan) (JA),BCAS20118,PS3,NTSC-A,JA,Red Seeds Profile,2010,3,10,Red Seeds Profile (Taiwan) (JA).iso
MLB 10 The Show (Taiwan) (EN),BCAS20119,PS3,NTSC-A,EN,MLB 10 The Show,2010,3,9,MLB 10 The Show (Taiwan) (EN).iso
NieR RepliCant (Taiwan) (JA),BCAS20120,PS3,NTSC-A,JA,NieR RepliCant,2010,4,22,NieR RepliCant (Taiwan) (JA).iso
SOCOM 4: U.S. Navy SEALS (Taiwan) (EN),BCAS20121,PS3,NTSC-A,EN,SOCOM 4: U.S. Navy SEALS,2011,4,19,SOCOM 4: U.S. Navy SEALS (Taiwan) (EN).iso
NieR (Taiwan) (EN),BCAS20122,PS3,NTSC-A,EN,NieR,2010,4,27,NieR (Taiwan) (EN).iso
Front Mission Evolved (Taiwan) (JA),BCAS20123,PS3,NTSC-A,JA,Front Mission Evolved,2010,9,16,Front Mission Evolved (Taiwan) (JA).iso
Totori no Atelier: Arland no Renkinjutsushi 2 (Taiwan) (JA),BCAS20124,PS3,NTSC-A,JA,Totori no Atelier: Arland no Renkinjutsushi 2,2010,6,24,Totori no Atelier: Arland no Renkinjutsushi 2 (Taiwan) (JA).iso
"Sports Champions (Taiwan) (EN,ZHTW)",BCAS20125,PS3,NTSC-A,"EN,ZHTW",Sports Champions,2010,9,15,"Sports Champions (Taiwan) (EN,ZHTW).iso"
"BlazBlue: Continuum Shift (Taiwan) (EN,JA,ZHTW,ZHCN)",BCAS20126,PS3,NTSC-A,"EN,JA,ZHTW,ZHCN",BlazBlue: Continuum Shift,2010,7,1,"BlazBlue: Continuum Shift (Taiwan) (EN,JA,ZHTW,ZHCN).iso"
PlayStation 3 Big Hit Titles' Demo Collection Vol. 2 (Taiwan) (ZHTW),BCAS20127,PS3,NTSC-A,ZHTW,PlayStation 3 Big Hit Titles' Demo Collection Vol. 2,2021,,,PlayStation 3 Big Hit Titles' Demo Collection Vol. 2 (Taiwan) (ZHTW).iso
"TV Superstars (Taiwan) (EN,ZHTW)",BCAS20128,PS3,NTSC-A,"EN,ZHTW",TV Superstars,2010,10,27,"TV Superstars (Taiwan) (EN,ZHTW).iso"
Chou Jigen Game: Neptune (Taiwan) (JA),BCAS20129,PS3,NTSC-A,JA,Chou Jigen Game: Neptune,2010,8,19,Chou Jigen Game: Neptune (Taiwan) (JA).iso
